Time,Beta AA,Beta AE,Beta AY,Beta EA,Beta EE,Beta EY,Beta YA,Beta YE,Beta YY,CE AA,CE AE,CE AY,CE EA,CE EE,CE EY,CE YA,CE YE,CE YY,DA,DE,DY,Infected A,Infected E,Infected Y,IR A,IR E,IR Y,Lambda A,Lambda E,Lambda Y,Pop A,Pop E,Pop Y,Prop A Infected,Prop E Infected,Prop Y Infected,Recovered A,Recovered E,Recovered Y,RR A,RR E,RR Y,Susceptible A,Susceptible E,Susceptible Y,Total Population
0,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0,0,1,0,1,3,0,4.00E-05,0.00012,"50,000","25,000","25,000",0,0,0,0,0,0,0,0,0.5,"50,000","25,000","25,000","100,000"
0.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0,0.125,1.312,0.125,1.375,4.062,2.50E-06,5.50E-05,0.00016,"50,000","25,000","25,000",0,0,0.00025,0,0,0.0625,0,0.0625,0.6562,"50,000","25,000","25,000","100,000"
0.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.01562,0.2891,1.738,0.3203,1.898,5.535,6.40E-06,7.60E-05,0.00022,"50,000","25,000","25,000",0,3.10E-05,0.00057,0,0.00781,0.1445,0.00781,0.1445,0.8691,"50,000","25,000","25,000","100,000"
0.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.05469,0.5083,2.321,0.6177,2.63,7.581,1.20E-05,0.0001,0.0003,"50,000","25,000","25,000",2.00E-06,0.0001,0.00101,0.00097,0.02588,0.2532,0.02734,0.2541,1.161,"50,000","25,000","25,000","100,000"
0.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.1285,0.8053,3.124,1.062,3.655,10.43,2.10E-05,0.00014,0.00041,"50,000","25,000","25,000",8.80E-06,0.00023,0.00159,0.00439,0.05765,0.3983,0.06424,0.4026,1.562,"50,000","25,000","25,000","100,000"
0.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.2532,1.212,4.233,1.718,5.092,14.41,3.40E-05,0.0002,0.00057,"50,000","25,000","25,000",2.50E-05,0.00043,0.00237,0.01242,0.108,0.5935,0.1266,0.6059,2.116,"50,000","25,000","25,000","100,000"
0.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.4522,1.773,5.77,2.677,7.108,19.98,5.40E-05,0.00028,0.00079,"50,000","25,000","25,000",5.70E-05,0.00073,0.00343,0.02825,0.1837,0.8581,0.2261,0.8863,2.885,"50,000","25,000","24,990","100,000"
0.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,0.7585,2.55,7.907,4.067,9.94,27.78,8.10E-05,0.00039,0.00111,"50,000","25,000","25,000",0.00011,0.00117,0.00487,0.05651,0.2945,1.219,0.3793,1.275,3.954,"50,000","25,000","24,990","100,000"
1,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1.22,3.633,10.89,6.072,13.92,38.71,0.00012,0.00055,0.00154,"50,000","25,000","25,000",0.0002,0.00181,0.00685,0.1039,0.4539,1.713,0.6098,1.817,5.443,"50,000","25,000","24,990","100,000"
1.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1.902,5.146,15.04,8.95,19.51,54.04,0.00017,0.00078,0.00216,"50,000","25,000","25,000",0.00036,0.00272,0.00957,0.1801,0.681,2.393,0.9512,2.573,7.522,"50,000","24,990","24,980","100,000"
1.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,2.902,7.264,20.86,13.07,27.38,75.57,0.00026,0.00109,0.00302,"50,000","25,000","25,000",0.00059,0.00401,0.01333,0.299,1.003,3.333,1.451,3.632,10.43,"50,000","24,990","24,980","100,000"
1.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,4.354,10.23,29,18.94,38.45,105.8,0.00037,0.00153,0.00423,"50,000","25,000","25,000",0.00096,0.00582,0.01855,0.4804,1.457,4.637,2.177,5.116,14.5,"50,000","24,990","24,970","100,000"
1.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,6.45,14.4,40.41,27.3,54.03,148.3,0.00054,0.00216,0.00594,"50,000","25,000","25,000",0.0015,0.00838,0.0258,0.7526,2.096,6.45,3.225,7.2,20.21,"49,990","24,980","24,950","100,000"
1.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,9.458,20.25,56.42,39.16,75.94,207.9,0.00078,0.00304,0.00833,"50,000","25,000","25,000",0.00231,0.01198,0.0359,1.156,2.996,8.976,4.729,10.13,28.21,"49,990","24,980","24,930","100,000"
1.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,13.76,28.48,78.88,55.99,106.7,291.6,0.00112,0.00427,0.01171,"50,000","25,000","25,000",0.00349,0.01705,0.05001,1.747,4.262,12.5,6.881,14.24,39.44,"49,980","24,970","24,910","100,000"
1.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,19.9,40.04,110.4,79.81,150,408.9,0.00159,0.00601,0.01644,"50,000","25,000","25,000",0.00521,0.02417,0.06973,2.607,6.042,17.43,9.95,20.02,55.2,"49,980","24,950","24,870","100,000"
2,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,28.63,56.3,154.6,113.5,210.8,573.3,0.00227,0.00845,0.0231,"50,000","25,000","25,000",0.0077,0.03418,0.09733,3.851,8.545,24.33,14.32,28.15,77.31,"49,970","24,940","24,820","100,000"
2.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,41.03,79.13,216.6,161,296.1,802.9,0.00322,0.01189,0.03244,"50,000","25,000","25,000",0.01128,0.04825,0.136,5.64,12.06,34,20.51,39.57,108.3,"49,950","24,910","24,750","100,000"
2.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,58.6,111.2,303.4,228.1,415.5,1123,0.00456,0.01671,0.04555,"50,000","25,000","25,000",0.01641,0.06804,0.1901,8.205,17.01,47.53,29.3,55.6,151.7,"49,930","24,870","24,650","100,000"
2.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,83.44,156.2,424.8,322.5,582.1,1566,0.00646,0.02345,0.0639,"50,000","25,000","25,000",0.02373,0.09584,0.266,11.87,23.96,66.5,41.72,78.09,212.4,"49,900","24,820","24,510","100,000"
2.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,118.5,219.2,594,455,813.8,2177,0.00912,0.03289,0.08953,"50,000","25,000","25,000",0.03416,0.1349,0.3722,17.08,33.72,93.05,59.27,109.6,297,"49,860","24,750","24,310","100,000"
2.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,168,307.2,829,640.8,1134,3010,0.01286,0.04602,0.1252,"50,000","25,000","25,000",0.04898,0.1897,0.5207,24.49,47.42,130.2,84,153.6,414.5,"49,810","24,650","24,040","100,000"
2.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,237.6,429.8,1153,900.1,1574,4132,0.0181,0.06424,0.1746,"50,000","25,000","25,000",0.06998,0.2665,0.7279,34.99,66.62,182,118.8,214.9,576.7,"49,730","24,500","23,660","100,000"
2.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,335.3,599.7,1598,1260,2171,5615,0.0254,0.08932,0.2426,"50,000","25,000","25,000",0.09968,0.3739,1.016,49.84,93.48,254.1,167.6,299.9,798.9,"49,610","24,310","23,150","100,000"
3,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,471.9,833.6,2200,1758,2969,7521,0.03555,0.1235,0.3351,"50,000","25,000","25,000",0.1416,0.5239,1.416,70.79,131,353.9,235.9,416.8,1100,"49,460","24,040","22,450","100,000"
3.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,662.1,1153,3002,2439,4014,9879,0.04954,0.1696,0.4594,"50,000","25,000","25,000",0.2006,0.7323,1.966,100.3,183.1,491.4,331.1,576.3,1501,"49,240","23,660","21,510","100,000"
3.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,925.6,1582,4050,3360,5343,"12,640",0.06867,0.2307,0.6233,"50,000","25,000","25,000",0.2833,1.02,2.716,141.7,255.1,679.1,462.8,791.2,2025,"48,930","23,160","20,270","100,000"
3.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1288,2151,5376,4586,6964,"15,590",0.09454,0.3096,0.8342,"50,000","25,000","25,000",0.399,1.416,3.729,199.5,354,932.2,643.9,1076,2688,"48,510","22,490","18,690","100,000"
3.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,1781,2887,6989,6183,8834,"18,360",0.129,0.4085,1.097,"50,000","25,000","25,000",0.56,1.954,5.073,280,488.5,1268,890.3,1444,3495,"47,940","21,620","16,740","100,000"
3.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,2442,3811,8847,8203,"10,830","20,360",0.1739,0.5278,1.41,"50,000","25,000","25,000",0.7826,2.676,6.82,391.3,668.9,1705,1221,1906,4424,"47,170","20,520","14,450","100,000"
3.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,3315,4927,"10,840","10,660","12,740","20,980",0.2311,0.6647,1.763,"50,000","25,000","25,000",1.088,3.629,9.032,543.9,907.1,2258,1657,2463,5420,"46,140","19,170","11,900","100,000"
3.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,4441,6211,"12,790","13,530","14,290","19,840",0.3019,0.8133,2.138,"50,000","25,000","25,000",1.502,4.86,11.74,751.1,1215,2935,2220,3106,6393,"44,810","17,570",9279,"100,000"
4,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,5854,7610,"14,470","16,660","15,230","17,060",0.3864,0.965,2.509,"50,000","25,000","25,000",2.057,6.413,14.94,1029,1603,3735,2927,3805,7233,"43,120","15,790",6799,"100,000"
4.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,7571,9038,"15,690","19,840","15,430","13,300",0.4836,1.111,2.85,"50,000","25,000","25,000",2.789,8.316,18.55,1395,2079,4639,3785,4519,7847,"41,030","13,880",4667,"100,000"
4.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,9578,"10,400","16,380","22,790","14,900",9455,0.5912,1.246,3.147,"50,000","25,000","25,000",3.735,10.58,22.48,1868,2644,5620,4789,5201,8188,"38,550","11,950",3004,"100,000"
4.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"11,830","11,610","16,530","25,190","13,790",6186,0.7054,1.367,3.395,"50,000","25,000","25,000",4.933,13.18,26.57,2466,3294,6643,5914,5807,8267,"35,710","10,090",1822,"100,000"
4.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"14,240","12,610","16,270","26,750","12,320",3772,0.8217,1.473,3.596,"50,000","25,000","25,000",6.411,16.08,30.71,3206,4020,7677,7119,6306,8137,"32,560",8368,1049,"100,000"
4.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"16,690","13,360","15,730","27,310","10,680",2169,0.935,1.564,3.757,"50,000","25,000","25,000",8.191,19.23,34.77,4095,4808,8694,8346,6682,7864,"29,210",6827,577.4,"100,000"
4.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"19,060","13,860","15,020","26,830",9010,1189,1.04,1.64,3.882,"50,000","25,000","25,000",10.28,22.57,38.71,5139,5643,9677,9531,6932,7509,"25,800",5492,306.2,"100,000"
4.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"21,220","14,120","14,230","25,400",7425,625.8,1.131,1.701,3.97,"50,000","25,000","25,000",12.66,26.04,42.46,6330,6510,"10,620","10,610",7062,7114,"22,450",4366,157.6,"100,000"
5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"23,070","14,170","13,420","23,250",5992,319.4,1.206,1.743,4.022,"50,000","25,000","25,000",15.31,29.57,46.02,7657,7393,"11,500","11,540",7085,6708,"19,270",3438,79.4,"100,000"
5.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"24,540","14,030","12,620","20,650",4751,159.4,1.262,1.767,4.038,"50,000","25,000","25,000",18.2,33.11,49.37,9099,8278,"12,340","12,270",7016,6309,"16,370",2689,39.48,"100,000"
5.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"25,580","13,750","11,850","17,900",3713,78.56,1.298,1.772,4.019,"50,000","25,000","25,000",21.26,36.62,52.53,"10,630",9155,"13,130","12,790",6875,5924,"13,780",2095,19.55,"100,000"
5.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"26,220","13,350","11,120","15,190",2872,38.59,1.316,1.761,3.966,"50,000","25,000","25,000",24.46,40.06,55.49,"12,230","10,010","13,870","13,110",6677,5559,"11,550",1631,9.73,"100,000"
5.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"26,480","12,880","10,430","12,700",2206,19.06,1.317,1.734,3.885,"50,000","25,000","25,000",27.74,43.4,58.27,"13,870","10,850","14,570","13,240",6439,5214,9647,1272,4.906,"100,000"
5.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"26,420","12,350",9779,"10,510",1689,9.54,1.304,1.695,3.781,"50,000","25,000","25,000",31.05,46.62,60.88,"15,530","11,650","15,220","13,210",6175,4889,8059,996.3,2.523,"100,000"
5.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"26,080","11,790",9169,8627,1292,4.868,1.279,1.646,3.658,"50,000","25,000","25,000",34.35,49.7,63.32,"17,180","12,430","15,830","13,040",5894,4584,6746,785.3,1.331,"100,000"
5.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"25,530","11,210",8596,7058,991.2,2.544,1.245,1.589,3.522,"50,000","25,000","25,000",37.61,52.65,65.61,"18,810","13,160","16,400","12,760",5607,4298,5667,623.7,0.7223,"100,000"
6,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"24,810","10,640",8059,5767,763.5,1.366,1.205,1.528,3.378,"50,000","25,000","25,000",40.8,55.45,67.76,"20,400","13,860","16,940","12,410",5318,4030,4785,499.8,0.4043,"100,000"
6.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"23,980","10,070",7556,4717,591.6,0.7541,1.161,1.463,3.228,"50,000","25,000","25,000",43.9,58.11,69.78,"21,950","14,530","17,440","11,990",5034,3778,4064,404.4,0.2336,"100,000"
6.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"23,070",9512,7084,3868,461.5,0.4287,1.113,1.397,3.076,"50,000","25,000","25,000",46.9,60.63,71.66,"23,450","15,160","17,920","11,540",4756,3542,3475,330.4,0.1393,"100,000"
6.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"22,120",8975,6641,3183,362.7,0.2509,1.064,1.33,2.925,"50,000","25,000","25,000",49.79,63.01,73.44,"24,890","15,750","18,360","11,060",4488,3320,2991,272.8,0.08576,"100,000"
6.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"21,130",8460,6226,2631,287.3,0.151,1.014,1.263,2.776,"50,000","25,000","25,000",52.55,65.25,75.1,"26,280","16,310","18,770","10,570",4230,3113,2593,227.4,0.0544,"100,000"
6.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,"20,140",7967,5837,2185,229.5,0.09344,0.9649,1.198,2.63,"50,000","25,000","25,000",55.19,67.37,76.65,"27,600","16,840","19,160","10,070",3983,2918,2264,191.5,0.03552,"100,000"
