Time,Beta AA,Beta AE,Beta AY,Beta EA,Beta EE,Beta EY,Beta YA,Beta YE,Beta YY,CE AA,CE AE,CE AY,CE EA,CE EE,CE EY,CE YA,CE YE,CE YY,DA,DE,DY,Infected A,Infected E,Infected Y,IR A,IR E,IR Y,Lambda A,Lambda E,Lambda Y,Pop A,Pop E,Pop Y,Prop A Infected,Prop E Infected,Prop Y Infected,Recovered A,Recovered E,Recovered Y,RR A,RR E,RR Y,Susceptible A,Susceptible E,Susceptible Y,Total Population
15.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,259.9,85.67,59.72,3.215,0.1974,2.50E-06,0.01211,0.0145,0.03139,"50,000","25,000","25,000",98.95,99.6,99.76,"49,470","24,900","24,940",130,42.84,29.86,265.4,13.61,7.90E-05,"100,000"
15.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,244.1,80.34,55.99,3.014,0.185,2.30E-06,0.01137,0.01361,0.02946,"50,000","25,000","25,000",98.98,99.62,99.78,"49,490","24,910","24,940",122,40.17,28,265,13.59,7.90E-05,"100,000"
15.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,229.2,75.35,52.49,2.825,0.1733,2.20E-06,0.01068,0.01278,0.02765,"50,000","25,000","25,000",99.01,99.64,99.79,"49,510","24,910","24,950",114.6,37.67,26.25,264.7,13.57,7.80E-05,"100,000"
15.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,215.2,70.66,49.21,2.649,0.1624,2.00E-06,0.01002,0.01199,0.02595,"50,000","25,000","25,000",99.04,99.66,99.8,"49,520","24,920","24,950",107.6,35.33,24.61,264.3,13.55,7.80E-05,"100,000"
16,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,202.1,66.26,46.13,2.484,0.1522,1.90E-06,0.00941,0.01126,0.02436,"50,000","25,000","25,000",99.07,99.68,99.82,"49,530","24,920","24,950",101.1,33.13,23.07,264,13.52,7.80E-05,"100,000"
16.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,189.8,62.14,43.25,2.329,0.1427,1.80E-06,0.00883,0.01056,0.02286,"50,000","25,000","25,000",99.09,99.7,99.83,"49,550","24,920","24,960",94.9,31.07,21.63,263.7,13.51,7.80E-05,"100,000"
16.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,178.2,58.27,40.55,2.185,0.1338,1.70E-06,0.00829,0.00991,0.02145,"50,000","25,000","25,000",99.12,99.71,99.84,"49,560","24,930","24,960",89.11,29.14,20.27,263.4,13.49,7.80E-05,"100,000"
16.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,167.4,54.65,38.01,2.049,0.1254,1.60E-06,0.00778,0.0093,0.02014,"50,000","25,000","25,000",99.14,99.73,99.85,"49,570","24,930","24,960",83.68,27.32,19.01,263.1,13.47,7.70E-05,"100,000"
16.5,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,157.2,51.25,35.64,1.922,0.1176,1.50E-06,0.00731,0.00873,0.0189,"50,000","25,000","25,000",99.16,99.74,99.86,"49,580","24,940","24,960",78.58,25.62,17.82,262.8,13.46,7.70E-05,"100,000"
16.625,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,147.6,48.06,33.41,1.803,0.1102,1.40E-06,0.00686,0.0082,0.01774,"50,000","25,000","25,000",99.18,99.75,99.87,"49,590","24,940","24,970",73.79,24.03,16.71,262.6,13.44,7.70E-05,"100,000"
16.75,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,138.6,45.07,31.32,1.691,0.1034,1.30E-06,0.00644,0.00769,0.01665,"50,000","25,000","25,000",99.2,99.77,99.87,"49,600","24,940","24,970",69.29,22.54,15.66,262.4,13.43,7.70E-05,"100,000"
16.875,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,130.1,42.27,29.36,1.586,0.09692,1.20E-06,0.00605,0.00722,0.01562,"50,000","25,000","25,000",99.22,99.78,99.88,"49,610","24,940","24,970",65.06,21.13,14.68,262.2,13.41,7.70E-05,"100,000"
17,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,122.2,39.64,27.53,1.488,0.09089,1.10E-06,0.00568,0.00678,0.01466,"50,000","25,000","25,000",99.23,99.79,99.89,"49,620","24,950","24,970",61.1,19.82,13.76,262,13.4,7.60E-05,"100,000"
17.125,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,114.7,37.17,25.81,1.396,0.08524,1.10E-06,0.00533,0.00636,0.01376,"50,000","25,000","25,000",99.25,99.8,99.9,"49,620","24,950","24,970",57.37,18.59,12.9,261.8,13.39,7.60E-05,"100,000"
17.25,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,107.7,34.86,24.2,1.31,0.07994,9.80E-07,0.005,0.00597,0.01292,"50,000","25,000","25,000",99.26,99.81,99.9,"49,630","24,950","24,980",53.87,17.43,12.1,261.6,13.38,7.60E-05,"100,000"
17.375,4.00E-05,2.00E-05,0,4.00E-05,2.00E-05,4.00E-05,8.00E-05,4.00E-05,0.00012,2,1,0,1,0.5,1,2,1,3,2,2,2,101.2,32.69,22.68,1.229,0.07498,9.20E-07,0.0047,0.0056,0.01212,"50,000","25,000","25,000",99.27,99.82,99.91,"49,640","24,950","24,980",50.59,16.34,11.34,261.4,13.37,7.60E-05,"100,000"
